bangla,chakma
সে জানালার পাশের বুথে বসেছিল তাই সে গাড়িতে আসা প্রত্যেককে দেখছিল ।,তে জানালা হুরি বুথথানত বুস্সি সেনে গাড়িত গুরি এত্তন্নে বেক্কুনরে দিক্কি ।
সে নিশ্চিত হতে চেয়েছিল আমার পিছু নেওয়া হয়নি । সে নার্ভাস ছিল ।,তে নিশ্চিত অবার চিয়েদে মরে ফলো গরা উয়ি নাহি । তে নার্ভাস এলহ্ ।
সে কোনো কিছুই ছোঁয়নি ।,তে কিচ্ছু ন দরেই ।
"উপরে উপরে , সবকিছু ঠিক থাকতে হয় । আমার মামলা নিয়ে আলাপ করার কথা ছিল ।","উগুরি উগুরি , বেক ঠিক তা পরেই । মর বিচারান নিনেই কধা কবার এল ।"
কিন্তু আমার মনে হচ্ছিল জিমি বুঝার চেষ্টা করছিল আমি জান বাঁচাতে তাঁর কুকর্ম ফাঁস করে দেব কিনা ।,কিন্তু মর মনে উয়েদে জিমি বুজিবার চেষ্টা গুজ্জিদে মুই ম পরানান বাজবাত্তে তা খারাপ খামানি কোই দিম নাহি ।
"আমি তোমাকে সারাজীবন ধরে বলেছি , ফোনে কথা বলবে না ।",মুই তরে সারাজীবন হঙ অত্তে মেবাইল্লোই কধা ন' কোজ ।
এবার বুঝেছ ?,এবার বুচ্ছজ ?
ঠিক হয়ে যাবে ।,ঠিক ওই জেব ।
মামলা জেতার একটা ভাল সুযোগ পেয়েছ ।,বিচারত জিনিবার এক্কান গম সূযোগ পিয়জ ।
আমরা শহরের যে ছেলেটার ব্যাপারে কথা বলেছিলাম মনে আছে ?,আমি শহরত যে পোবু ব্যাপারে কধা হুয়েই মনত আগে ?
ছেলেটা বেইমান হয়ে গেছে ।,পোবু বেইমান উয়ে ।
"যখনই সে গ্রেপ্তার হবে , সবার গুমোর ফাঁস করে দেবে ।","যেক্কে তে গ্রেপ্তার অব , বেক গোপন কধানি কোই দিবু ।"
জানি সে কোথায় । সে এখন লুকিয়ে আছে ।,কবর পাঙ তে কুধু আগে । তে ইক্কি পোল্ল আগেদে ।
বুঝেছ কী বলছি ?,বুঝি পাজ্জুঝ কি হঙর ?
এভাবে ওরা কিছুই পায়নি ।,সিঙিরু তারা কিচ্ছু নপান ।
কাউকে মারার আগে জিমি কখনো আমাকে কিছু বলেনি ।,কারোরে মারিবার আগে জিমি কনদিন মরে কিচ্ছু ন কয় ।
কিন্তু এখন সে আমাকে ফ্লোরিডা যেতে বলছে আর অ্যান্থনির সাথে খুন করতে বলছে ।,কিন্তু ইক্কি তে মরে ফ্লোরিডা যেবাল্লে হুয়ি আ অ্যান্থনি লগে মারে ফেলেবাত্তে হুয়ি ।
"তখনই জানতে পারি , ফ্লোরিডা থেকে আমি কখনো জ্যান্ত ফিরব না ।","সেক্কেনেই হবর পিয়ঙ , ফ্লোরিডাত্তুন জেদা বাদে ফিরি ন পারিম ।"
হ্যালো,ওই
আমার নাম ফরেস্ট ।,ম নামান ফরেস্ট ।
আপনি চকোলেট খাবেন ?,তুই চকোলেট হেবে ?
আমি এমন দেড় লাখ চকোলেট খেয়ে ফেলব ।,মুই ইক্কি দেড় লাখ চকোলেট হে ফেলেম ।
"আমার মা সবসময় বলতেন , বাবা এই জীবনটা এই চকোলেটের বাক্সের মতোই ।",মামা সবসময় কধ পুত এ জীবনান চকোলেটঅ দুক্কিন ।
